Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumTransaction,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumTransactionWritable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumTransactionWritable,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EthereumTransaction
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: RLP_OBJECTTYPE_INVALID; RLP_OBJECTTYPE_ELEMENT; RLP_OBJECTTYPE_LIST; CHAIN_ID_INC; LOWER_REAL_V; HASH_SIZE; LONG_SIZE; INT_SIZE; WORD_SIZE; EMPTY_BYTE_ARRAY; LOG
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumUtil,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumFormatReaderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_ETHEREUMBLOCK; LOG; CHAIN_ID
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumFormatReaderTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumUtilTest,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8571428571428571
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumUtilTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_ETHEREUMBLOCK; CHAIN_ID; TEST_RLP_ELEMENT_STRING; TEST_RLP_LIST_STRING; TEST_RLP_EMPTY_STRING; TEST_RLP_EMPTY_LIST; TEST_RLP_ELEMENT_INT_15; TEST_RLP_ELEMENT_INT_1024; TEST_RLP_LIST_SET3; TEST_RLP_ELEMENT_LARGESTRING; TEST_RLP_LIST_LARGELIST
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common.rlp,RLPElement,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RLPObject
