Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterTest,setUp,2,1,0,51
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterTest,tearDown,2,1,0,55
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterTest,mapNoOfTransaction,10,1,0,59
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterTest,reduceSumUpTransactions,6,1,0,71
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,oneTimeSetUp,35,2,0,82
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,run,21,2,0,90
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,visitFile,4,1,2,95
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,postVisitDirectory,7,2,2,102
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,oneTimeTearDown,6,2,0,129
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,setUp,3,1,0,139
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,tearDown,9,3,0,145
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,checkTestDataGenesisBlockAvailable,9,1,0,158
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,application,13,1,0,169
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,readDefaultResults,16,3,1,191
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,openFile,19,3,1,227
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,Spark2BitcoinBlockCounter,3,1,0,47
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,main,8,1,1,52
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,jobTotalNumOfTransactions,16,1,4,64
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,call,3,1,1,81
