deployment_project_reference,deployment_guid,latitude,longitude,time,recovery_datetime_utc,array_name,bottom_depth,depth,deployment_comments,datacenter_reference
BOOONC,nepBOOONCBOOONC-BNDYP-9-VR2W-120210-2016,48.7664167,-123.0390833,2016-10-26T23:30:00Z,2017-04-18T20:06:27Z,BOOONC,237,223,Null,nep
BOOONC,nepBOOONCBOOONC-BNDYP-VR2W-120210-1,48.7663,-123.04022,2013-04-19T22:04:00Z,2013-10-11T18:52:00Z,BOOONC,228,223,Null,nep
BOOONC,nepBOOONCBOOONC-BNDYP-VR2W-120210-6,48.7666,-123.03785,2016-04-14T21:08:35Z,2016-10-26T22:02:20Z,BOOONC,233,228,Null,nep
BOOONC,nepBOOONCBOOONC-JF2C-3-112447,48.35637,-124.21577,2013-10-26T01:11:00Z,2014-05-14T01:50:00Z,BOOONC,188,183,Null,nep
BOOONC,nepBOOONCBOOONC-JF2C-6-VR2W-125221-2015,48.35619497,-124.2160267,2015-09-13T06:26:55Z,2016-05-10T23:52:00Z,BOOONC,190,183,Null,nep
BOOONC,nepBOOONCBOOONC-JF2C-7-VR2W-106598-2016,48.3559745,-124.2157838,2016-05-11T01:44:10Z,2017-06-07T05:59:17Z,BOOONC,190,182,Null,nep
BOOONC,nepBOOONCBOOONC-JF2C-8-VR2W-128544-2017,48.35590331,-124.2158833,2017-06-15T19:45:18Z,,BOOONC,187,0,Null,nep
BOOONC,nepBOOONCBOOONC-JF2C-VR2W-120212-1,48.36067,-124.21282,2013-04-24T02:40:00Z,2013-10-26T00:11:00Z,BOOONC,180,175,Null,nep
BOOONC,nepBOOONCBOOONC-JFCN-3-114745,48.50842,-124.75072,2013-10-25T20:59:00Z,2014-05-13T21:33:00Z,BOOONC,229,225,Null,nep
BOOONC,nepBOOONCBOOONC-JFCN-VR2W-120211-1,48.50813,-124.74912,2013-04-23T22:25:00Z,2013-10-25T19:40:00Z,BOOONC,231,226,Null,nep
BOOONC,nepBOOONCBOOONC-MAC-5-VR2W-125224-2015,48.40122222,-123.4087778,2015-04-10T04:21:03Z,2015-10-13T23:21:00Z,BOOONC,62,55,Null,nep
BOOONC,nepBOOONCBOOONC-MAC-6-VR2W-125224-2015,48.4011,-123.4084833,2015-10-14T01:01:24Z,2016-04-15T21:07:42Z,BOOONC,63,55,Null,nep
BOOONC,nepBOOONCBOOONC-MAC-8-VR2W-110168-2016,48.4012,-123.4091333,2016-10-28T03:35:08Z,2017-04-19T18:20:01Z,BOOONC,62,56,Null,nep
BOOONC,nepBOOONCBOOONC-MAC-9-VR2W-128570-2017,48.40111667,-123.4089667,2017-04-19T22:21:17Z,,BOOONC,62,0,Null,nep
BOOONC,nepBOOONCBOOONC-MAC-VR2W-110168-5,48.40128333,-123.4083,2016-04-15T22:28:30Z,2016-10-28T01:37:00Z,BOOONC,62,57,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-112415-1,48.401,-123.4089,2013-10-12T04:37:00Z,2014-04-12T01:17:15Z,BOOONC,61,56,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-112415-3,48.3003,-123.39128,2014-04-17T20:12:00Z,2014-10-10T00:19:38Z,BOOONC,118,113,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-112445-1,48.30045,-123.39135,2013-10-12T01:57:00Z,2014-04-17T19:38:35Z,BOOONC,118,113,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-112445-3,48.40108,-123.40892,2014-04-17T21:49:40Z,2014-10-09T21:49:40Z,BOOONC,60,55,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-112447-4,48.35652,-124.21602,2014-05-14T02:25:00Z,2014-09-22T18:12:00Z,BOOONC,187,182,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-112450-4,48.76636,-123.03922,2014-04-11T20:45:45Z,2014-10-09T18:50:58Z,BOOONC,225,220,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-114745-4,48.50833,-124.75008,2014-05-13T22:48:00Z,2014-09-22T22:43:00Z,BOOONC,230,225,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-125220-5,48.35619,-124.21603,2014-09-22T18:41:00Z,2015-09-13T02:50:10Z,BOOONC,192,187,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-125221-5,48.50833,-124.75009,2014-09-22T23:50:00Z,2015-09-12T22:49:00Z,BOOONC,241,236,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-125222-5,48.7665,-123.03956,2014-10-09T20:19:22Z,2015-04-09T17:57:00Z,BOOONC,235,230,Null,nep
BOOONC,nepBOOONCBOOONC-VR2W-125224-4,48.40114,-123.40908,2014-10-09T16:23:26Z,2015-04-10T02:44:54Z,BOOONC,67,62,Null,nep
