datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,receiver_reference_type,receiver_reference_id
OTN-Global,MAL03-108618,OTN-GlobalV2LMALMAL03-108618,VEMCO,VR2W,108618,ManmadePlatform,V2LMAL_MAL03
OTN-Global,MAL03-A-108826,OTN-GlobalV2LMALMAL03-A-108826,VEMCO,VR2W,108826,ManmadePlatform,V2LMAL_MAL03-A
OTN-Global,MAL04-108619,OTN-GlobalV2LMALMAL04-108619,VEMCO,VR2W,108619,ManmadePlatform,V2LMAL_MAL04
OTN-Global,MAL04-A-108836,OTN-GlobalV2LMALMAL04-A-108836,VEMCO,VR2W,108836,ManmadePlatform,V2LMAL_MAL04-A
OTN-Global,MAL05-108620,OTN-GlobalV2LMALMAL05-108620,VEMCO,VR2W,108620,ManmadePlatform,V2LMAL_MAL05
OTN-Global,MAL05-A-108825,OTN-GlobalV2LMALMAL05-A-108825,VEMCO,VR2W,108825,ManmadePlatform,V2LMAL_MAL05-A
OTN-Global,MAL06-108621,OTN-GlobalV2LMALMAL06-108621,VEMCO,VR2W,108621,ManmadePlatform,V2LMAL_MAL06
OTN-Global,MAL06-A-108835,OTN-GlobalV2LMALMAL06-A-108835,VEMCO,VR2W,108835,ManmadePlatform,V2LMAL_MAL06-A
OTN-Global,MAL07-108622,OTN-GlobalV2LMALMAL07-108622,VEMCO,VR2W,108622,ManmadePlatform,V2LMAL_MAL07
OTN-Global,MAL07-A-108829,OTN-GlobalV2LMALMAL07-A-108829,VEMCO,VR2W,108829,ManmadePlatform,V2LMAL_MAL07-A
OTN-Global,MAL08-108624,OTN-GlobalV2LMALMAL08-108624,VEMCO,VR2W,108624,ManmadePlatform,V2LMAL_MAL08
OTN-Global,MAL08-A-108824,OTN-GlobalV2LMALMAL08-A-108824,VEMCO,VR2W,108824,ManmadePlatform,V2LMAL_MAL08-A
OTN-Global,MAL09-108625,OTN-GlobalV2LMALMAL09-108625,VEMCO,VR2W,108625,ManmadePlatform,V2LMAL_MAL09
OTN-Global,MAL09-A-108839,OTN-GlobalV2LMALMAL09-A-108839,VEMCO,VR2W,108839,ManmadePlatform,V2LMAL_MAL09-A
OTN-Global,MAL10-108626,OTN-GlobalV2LMALMAL10-108626,VEMCO,VR2W,108626,ManmadePlatform,V2LMAL_MAL10
OTN-Global,MAL10-A-108819,OTN-GlobalV2LMALMAL10-A-108819,VEMCO,VR2W,108819,ManmadePlatform,V2LMAL_MAL10-A
OTN-Global,MAL11-108627,OTN-GlobalV2LMALMAL11-108627,VEMCO,VR2W,108627,ManmadePlatform,V2LMAL_MAL11
OTN-Global,MAL11-A-108834,OTN-GlobalV2LMALMAL11-A-108834,VEMCO,VR2W,108834,ManmadePlatform,V2LMAL_MAL11-A
OTN-Global,MAL12-108628,OTN-GlobalV2LMALMAL12-108628,VEMCO,VR2W,108628,ManmadePlatform,V2LMAL_MAL12
OTN-Global,MAL12-A-108831,OTN-GlobalV2LMALMAL12-A-108831,VEMCO,VR2W,108831,ManmadePlatform,V2LMAL_MAL12-A
OTN-Global,MAL13-108629,OTN-GlobalV2LMALMAL13-108629,VEMCO,VR2W,108629,ManmadePlatform,V2LMAL_MAL13
OTN-Global,MAL13-A-108821,OTN-GlobalV2LMALMAL13-A-108821,VEMCO,VR2W,108821,ManmadePlatform,V2LMAL_MAL13-A
OTN-Global,MAL14-108830,OTN-GlobalV2LMALMAL14-108830,VEMCO,VR2W,108830,ManmadePlatform,V2LMAL_MAL14
OTN-Global,MAL14-A-108820,OTN-GlobalV2LMALMAL14-A-108820,VEMCO,VR2W,108820,ManmadePlatform,V2LMAL_MAL14-A
OTN-Global,MAL15-108837,OTN-GlobalV2LMALMAL15-108837,VEMCO,VR2W,108837,ManmadePlatform,V2LMAL_MAL15
OTN-Global,MAL15-A-108838,OTN-GlobalV2LMALMAL15-A-108838,VEMCO,VR2W,108838,ManmadePlatform,V2LMAL_MAL15-A
OTN-Global,MAL16-120205,OTN-GlobalV2LMALMAL16-120205,VEMCO,VR2W,120205,ManmadePlatform,V2LMAL_MAL16
OTN-Global,MAL16-A-108832,OTN-GlobalV2LMALMAL16-A-108832,VEMCO,VR2W,108832,ManmadePlatform,V2LMAL_MAL16-A
OTN-Global,MAL17-108623,OTN-GlobalV2LMALMAL17-108623,VEMCO,VR2W,108623,ManmadePlatform,V2LMAL_MAL17
OTN-Global,MAL17-A-108833,OTN-GlobalV2LMALMAL17-A-108833,VEMCO,VR2W,108833,ManmadePlatform,V2LMAL_MAL17-A
OTN-Global,MAL18-124673,OTN-GlobalV2LMALMAL18-124673,VEMCO,VR2W,124673,ManmadePlatform,V2LMAL_MAL18
OTN-Global,MAL18-A-108828,OTN-GlobalV2LMALMAL18-A-108828,VEMCO,VR2W,108828,ManmadePlatform,V2LMAL_MAL18-A
OTN-Global,MAL19-124674,OTN-GlobalV2LMALMAL19-124674,VEMCO,VR2W,124674,ManmadePlatform,V2LMAL_MAL19
OTN-Global,MAL19-A-108823,OTN-GlobalV2LMALMAL19-A-108823,VEMCO,VR2W,108823,ManmadePlatform,V2LMAL_MAL19-A
OTN-Global,MAL20-124675,OTN-GlobalV2LMALMAL20-124675,VEMCO,VR2W,124675,ManmadePlatform,V2LMAL_MAL20
OTN-Global,MAL20-A-108822,OTN-GlobalV2LMALMAL20-A-108822,VEMCO,VR2W,108822,ManmadePlatform,V2LMAL_MAL20-A
OTN-Global,MAL21-124676,OTN-GlobalV2LMALMAL21-124676,VEMCO,VR2W,124676,ManmadePlatform,V2LMAL_MAL21
OTN-Global,MAL22-124677,OTN-GlobalV2LMALMAL22-124677,VEMCO,VR2W,124677,ManmadePlatform,V2LMAL_MAL22
OTN-Global,MAL23-124678,OTN-GlobalV2LMALMAL23-124678,VEMCO,VR2W,124678,ManmadePlatform,V2LMAL_MAL23
OTN-Global,MAL24-124679,OTN-GlobalV2LMALMAL24-124679,VEMCO,VR2W,124679,ManmadePlatform,V2LMAL_MAL24
OTN-Global,MAL25-124680,OTN-GlobalV2LMALMAL25-124680,VEMCO,VR2W,124680,ManmadePlatform,V2LMAL_MAL25
OTN-Global,MAL26-124681,OTN-GlobalV2LMALMAL26-124681,VEMCO,VR2W,124681,ManmadePlatform,V2LMAL_MAL26
OTN-Global,MAL27-124682,OTN-GlobalV2LMALMAL27-124682,VEMCO,VR2W,124682,ManmadePlatform,V2LMAL_MAL27
OTN-Global,MAL28-124683,OTN-GlobalV2LMALMAL28-124683,VEMCO,VR2W,124683,ManmadePlatform,V2LMAL_MAL28
OTN-Global,MAL29-124684,OTN-GlobalV2LMALMAL29-124684,VEMCO,VR2W,124684,ManmadePlatform,V2LMAL_MAL29
OTN-Global,MAL30-124685,OTN-GlobalV2LMALMAL30-124685,VEMCO,VR2W,124685,ManmadePlatform,V2LMAL_MAL30
OTN-Global,MAL31-124686,OTN-GlobalV2LMALMAL31-124686,VEMCO,VR2W,124686,ManmadePlatform,V2LMAL_MAL31
OTN-Global,MAL32-124687,OTN-GlobalV2LMALMAL32-124687,VEMCO,VR2W,124687,ManmadePlatform,V2LMAL_MAL32
OTN-Global,MAL33-124688,OTN-GlobalV2LMALMAL33-124688,VEMCO,VR2W,124688,ManmadePlatform,V2LMAL_MAL33
OTN-Global,MAL34-124689,OTN-GlobalV2LMALMAL34-124689,VEMCO,VR2W,124689,ManmadePlatform,V2LMAL_MAL34
OTN-Global,MAL35-124690,OTN-GlobalV2LMALMAL35-124690,VEMCO,VR2W,124690,ManmadePlatform,V2LMAL_MAL35
OTN-Global,MAL36-124691,OTN-GlobalV2LMALMAL36-124691,VEMCO,VR2W,124691,ManmadePlatform,V2LMAL_MAL36
OTN-Global,MAL37-124692,OTN-GlobalV2LMALMAL37-124692,VEMCO,VR2W,124692,ManmadePlatform,V2LMAL_MAL37
OTN-Global,MAL38-124693,OTN-GlobalV2LMALMAL38-124693,VEMCO,VR2W,124693,ManmadePlatform,V2LMAL_MAL38
OTN-Global,MAL39-124694,OTN-GlobalV2LMALMAL39-124694,VEMCO,VR2W,124694,ManmadePlatform,V2LMAL_MAL39
OTN-Global,MAL40-124695,OTN-GlobalV2LMALMAL40-124695,VEMCO,VR2W,124695,ManmadePlatform,V2LMAL_MAL40
OTN-Global,MAL41-124696,OTN-GlobalV2LMALMAL41-124696,VEMCO,VR2W,124696,ManmadePlatform,V2LMAL_MAL41
OTN-Global,MAL42-124697,OTN-GlobalV2LMALMAL42-124697,VEMCO,VR2W,124697,ManmadePlatform,V2LMAL_MAL42
OTN-Global,MAL43-124698,OTN-GlobalV2LMALMAL43-124698,VEMCO,VR2W,124698,ManmadePlatform,V2LMAL_MAL43
OTN-Global,MAL44-124699,OTN-GlobalV2LMALMAL44-124699,VEMCO,VR2W,124699,ManmadePlatform,V2LMAL_MAL44
OTN-Global,MAL45-124700,OTN-GlobalV2LMALMAL45-124700,VEMCO,VR2W,124700,ManmadePlatform,V2LMAL_MAL45
