animal_guid,length,length_type,weight,life_stage,age,sex
OTN-GlobalNSBSNSBS-Wryley,1.16,FORK,7.57,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Brianna,1.41,FORK,21.59,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Tika,1.52,FORK,25.12,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Janina,1.49,FORK,25.09,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Lola,1.39,FORK,18.14,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Alyssa,1.56,FORK,27.71,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Ophelia,1.29,FORK,10.52,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Skylar,1.62,FORK,30.88,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Blue Rodeo (Rick Mercer),1.35,FORK,12,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Keesh,1.35,FORK,15,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Tiny Turner,1.07,FORK,6,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Tail Slap,1.47,FORK,18,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Hey Jude,1.55,FORK,28,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Suzy Q,1.55,FORK,22,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Betty,1.36,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Bonkers,1.28,FORK,11,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Brendal,1.65,FORK,27,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Lucy-14,1.52,FORK,15,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Finnigan-14,1.03,FORK,6,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Big Momma,1.65,FORK,26,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Calypso,1.31,FORK,15,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Katelyn,1.31,FORK,9,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Hooker,1.47,FORK,20,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Casey,1.42,FORK,19,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Helga,1.63,FORK,28,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Nikki,1.31,FORK,12,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Alison,1.41,FORK,20,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-LILY,1.5494,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-MATTEA,1.0541,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-ALICE,1.4097,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-PEYTON,1.524,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-KRISTINA,1.4351,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-GRIFFIN,1.5875,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-TRACEY,1.1049,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-HUGH,1.68275,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-SARAH,1.09982,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-LORENZA,1.5367,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-NICOLE,1.8542,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-TINI,1.651,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-CAROLINA,1.6256,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-NAKIA,1.7018,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-SWAANTJE,1.3589,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Salty Dog,1.52,FORK,20,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-ELVIRE,1.4097,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-MOFFAT,1.6383,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-110451,1.5367,FORK,Null,SUB-ADULT,Null,F
OTN-GlobalNSBSNSBS-110448,1.6891,FORK,Null,SUB-ADULT,Null,F
OTN-GlobalNSBSNSBS-1248833,1.461,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248824,1.549,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248832,1.727,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248830,1.524,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Hops,1.27,FORK,Null,JUVENILE,Null,M
OTN-GlobalNSBSNSBS-Spruce,1.32,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248838-2017-08-22-11288,1.6,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248834-2017-08-27-11280,1.32,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248831-2017-08-22-11274,1.17,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248838-2017-08-22-11287,1.6,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248834-2017-08-27-11279,1.32,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248831-2017-08-22-11273,1.17,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1250986-2017-08-25-11209,1.65,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1250984-2017-08-25-11205,1.41,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1250982-2017-08-25-11201,1.395,FORK,Null,JUVENILE,Null,F
OTN-GlobalWRSWRS-1073397,0.204,FORK,0.09,SMOLT,Null,U
OTN-GlobalWRSWRS-1073398,0.214,FORK,0.083,SMOLT,Null,U
OTN-GlobalWRSWRS-1073399,0.211,FORK,0.081,SMOLT,Null,U
OTN-GlobalWRSWRS-1073400,0.186,FORK,0.066,SMOLT,Null,U
OTN-GlobalWRSWRS-1073401,0.188,FORK,0.075,SMOLT,Null,U
OTN-GlobalWRSWRS-1073402,0.181,FORK,0.057,SMOLT,Null,U
OTN-GlobalWRSWRS-1073403,0.188,FORK,0.059,SMOLT,Null,U
OTN-GlobalWRSWRS-1073404,0.193,FORK,0.076,SMOLT,Null,U
OTN-GlobalWRSWRS-1073405,0.216,FORK,0.102,SMOLT,Null,U
